group_id,class_id,class_name,class_name_upper,has_name
1,1,Version,VERSION,FALSE
1,2,SimulationControl,SIMULATIONCONTROL,FALSE
1,3,Building,BUILDING,TRUE
1,4,PerformancePrecisionTradeoffs,PERFORMANCEPRECISIONTRADEOFFS,FALSE
1,5,ShadowCalculation,SHADOWCALCULATION,FALSE
1,6,SurfaceConvectionAlgorithm:Inside,SURFACECONVECTIONALGORITHM:INSIDE,FALSE
1,7,SurfaceConvectionAlgorithm:Outside,SURFACECONVECTIONALGORITHM:OUTSIDE,FALSE
1,8,HeatBalanceAlgorithm,HEATBALANCEALGORITHM,FALSE
1,9,HeatBalanceSettings:ConductionFiniteDifference,HEATBALANCESETTINGS:CONDUCTIONFINITEDIFFERENCE,FALSE
1,10,ZoneAirHeatBalanceAlgorithm,ZONEAIRHEATBALANCEALGORITHM,FALSE
1,11,ZoneAirContaminantBalance,ZONEAIRCONTAMINANTBALANCE,FALSE
1,12,ZoneCapacitanceMultiplier:ResearchSpecial,ZONECAPACITANCEMULTIPLIER:RESEARCHSPECIAL,FALSE
1,13,ZoneAirMassFlowConservation,ZONEAIRMASSFLOWCONSERVATION,FALSE
1,14,Timestep,TIMESTEP,FALSE
1,15,ConvergenceLimits,CONVERGENCELIMITS,FALSE
1,16,ProgramControl,PROGRAMCONTROL,FALSE
1,17,HVACSystemRootFindingAlgorithm,HVACSYSTEMROOTFINDINGALGORITHM,FALSE
2,18,Compliance:Building,COMPLIANCE:BUILDING,FALSE
3,19,Site:Location,SITE:LOCATION,TRUE
3,20,SizingPeriod:DesignDay,SIZINGPERIOD:DESIGNDAY,TRUE
3,21,SizingPeriod:WeatherFileDays,SIZINGPERIOD:WEATHERFILEDAYS,TRUE
3,22,Site:VariableLocation,SITE:VARIABLELOCATION,TRUE
3,23,SizingPeriod:WeatherFileConditionType,SIZINGPERIOD:WEATHERFILECONDITIONTYPE,TRUE
3,24,RunPeriod,RUNPERIOD,TRUE
3,25,RunPeriod:CustomRange,RUNPERIOD:CUSTOMRANGE,TRUE
3,26,RunPeriodControl:SpecialDays,RUNPERIODCONTROL:SPECIALDAYS,TRUE
3,27,RunPeriodControl:DaylightSavingTime,RUNPERIODCONTROL:DAYLIGHTSAVINGTIME,FALSE
3,28,WeatherProperty:SkyTemperature,WEATHERPROPERTY:SKYTEMPERATURE,FALSE
3,29,Site:WeatherStation,SITE:WEATHERSTATION,FALSE
3,30,Site:HeightVariation,SITE:HEIGHTVARIATION,FALSE
3,31,Site:GroundTemperature:BuildingSurface,SITE:GROUNDTEMPERATURE:BUILDINGSURFACE,FALSE
3,32,Site:GroundTemperature:FCfactorMethod,SITE:GROUNDTEMPERATURE:FCFACTORMETHOD,FALSE
3,33,Site:GroundTemperature:Shallow,SITE:GROUNDTEMPERATURE:SHALLOW,FALSE
3,34,Site:GroundTemperature:Deep,SITE:GROUNDTEMPERATURE:DEEP,FALSE
3,35,Site:GroundReflectance,SITE:GROUNDREFLECTANCE,FALSE
3,36,Site:GroundReflectance:SnowModifier,SITE:GROUNDREFLECTANCE:SNOWMODIFIER,FALSE
3,37,Site:GroundDomain,SITE:GROUNDDOMAIN,TRUE
3,38,Site:GroundDomain:Slab,SITE:GROUNDDOMAIN:SLAB,TRUE
3,39,Site:GroundTemperature:Undisturbed:FiniteDifference,SITE:GROUNDTEMPERATURE:UNDISTURBED:FINITEDIFFERENCE,TRUE
3,40,Site:WaterMainsTemperature,SITE:WATERMAINSTEMPERATURE,FALSE
3,41,Site:GroundDomain:Basement,SITE:GROUNDDOMAIN:BASEMENT,TRUE
3,42,Site:GroundTemperature:Undisturbed:KusudaAchenbach,SITE:GROUNDTEMPERATURE:UNDISTURBED:KUSUDAACHENBACH,TRUE
3,43,Site:Precipitation,SITE:PRECIPITATION,FALSE
3,44,Site:GroundTemperature:Undisturbed:Xing,SITE:GROUNDTEMPERATURE:UNDISTURBED:XING,TRUE
3,45,RoofIrrigation,ROOFIRRIGATION,FALSE
3,46,Site:SolarAndVisibleSpectrum,SITE:SOLARANDVISIBLESPECTRUM,TRUE
3,47,Site:SpectrumData,SITE:SPECTRUMDATA,TRUE
4,48,ScheduleTypeLimits,SCHEDULETYPELIMITS,TRUE
4,49,Schedule:Day:Hourly,SCHEDULE:DAY:HOURLY,TRUE
4,50,Schedule:Day:Interval,SCHEDULE:DAY:INTERVAL,TRUE
4,51,Schedule:Day:List,SCHEDULE:DAY:LIST,TRUE
4,52,Schedule:Week:Daily,SCHEDULE:WEEK:DAILY,TRUE
4,53,Schedule:Week:Compact,SCHEDULE:WEEK:COMPACT,TRUE
4,54,Schedule:Year,SCHEDULE:YEAR,TRUE
4,55,Schedule:Compact,SCHEDULE:COMPACT,TRUE
4,56,Schedule:Constant,SCHEDULE:CONSTANT,TRUE
4,57,Schedule:File,SCHEDULE:FILE,TRUE
4,58,Schedule:File:Shading,SCHEDULE:FILE:SHADING,FALSE
5,59,Material,MATERIAL,TRUE
5,60,Material:NoMass,MATERIAL:NOMASS,TRUE
5,61,Material:InfraredTransparent,MATERIAL:INFRAREDTRANSPARENT,TRUE
5,62,Material:AirGap,MATERIAL:AIRGAP,TRUE
5,63,Material:RoofVegetation,MATERIAL:ROOFVEGETATION,TRUE
5,64,WindowMaterial:SimpleGlazingSystem,WINDOWMATERIAL:SIMPLEGLAZINGSYSTEM,TRUE
5,65,WindowMaterial:Glazing,WINDOWMATERIAL:GLAZING,TRUE
5,66,WindowMaterial:GlazingGroup:Thermochromic,WINDOWMATERIAL:GLAZINGGROUP:THERMOCHROMIC,TRUE
5,67,WindowMaterial:Glazing:RefractionExtinctionMethod,WINDOWMATERIAL:GLAZING:REFRACTIONEXTINCTIONMETHOD,TRUE
5,68,WindowMaterial:Gas,WINDOWMATERIAL:GAS,TRUE
5,69,WindowGap:SupportPillar,WINDOWGAP:SUPPORTPILLAR,TRUE
5,70,WindowGap:DeflectionState,WINDOWGAP:DEFLECTIONSTATE,TRUE
5,71,WindowMaterial:GasMixture,WINDOWMATERIAL:GASMIXTURE,TRUE
5,72,WindowMaterial:Gap,WINDOWMATERIAL:GAP,TRUE
5,73,WindowMaterial:Shade,WINDOWMATERIAL:SHADE,TRUE
5,74,WindowMaterial:ComplexShade,WINDOWMATERIAL:COMPLEXSHADE,TRUE
5,75,WindowMaterial:Blind,WINDOWMATERIAL:BLIND,TRUE
5,76,WindowMaterial:Screen,WINDOWMATERIAL:SCREEN,TRUE
5,77,MaterialProperty:MoisturePenetrationDepth:Settings,MATERIALPROPERTY:MOISTUREPENETRATIONDEPTH:SETTINGS,FALSE
5,78,MaterialProperty:PhaseChange,MATERIALPROPERTY:PHASECHANGE,FALSE
5,79,MaterialProperty:VariableThermalConductivity,MATERIALPROPERTY:VARIABLETHERMALCONDUCTIVITY,FALSE
5,80,WindowMaterial:Shade:EquivalentLayer,WINDOWMATERIAL:SHADE:EQUIVALENTLAYER,TRUE
5,81,MaterialProperty:HeatAndMoistureTransfer:Settings,MATERIALPROPERTY:HEATANDMOISTURETRANSFER:SETTINGS,FALSE
5,82,WindowMaterial:Drape:EquivalentLayer,WINDOWMATERIAL:DRAPE:EQUIVALENTLAYER,TRUE
5,83,MaterialProperty:HeatAndMoistureTransfer:SorptionIsotherm,MATERIALPROPERTY:HEATANDMOISTURETRANSFER:SORPTIONISOTHERM,FALSE
5,84,WindowMaterial:Blind:EquivalentLayer,WINDOWMATERIAL:BLIND:EQUIVALENTLAYER,TRUE
5,85,MaterialProperty:HeatAndMoistureTransfer:Suction,MATERIALPROPERTY:HEATANDMOISTURETRANSFER:SUCTION,FALSE
5,86,WindowMaterial:Screen:EquivalentLayer,WINDOWMATERIAL:SCREEN:EQUIVALENTLAYER,TRUE
5,87,MaterialProperty:HeatAndMoistureTransfer:Redistribution,MATERIALPROPERTY:HEATANDMOISTURETRANSFER:REDISTRIBUTION,FALSE
5,88,WindowMaterial:Glazing:EquivalentLayer,WINDOWMATERIAL:GLAZING:EQUIVALENTLAYER,TRUE
5,89,MaterialProperty:HeatAndMoistureTransfer:Diffusion,MATERIALPROPERTY:HEATANDMOISTURETRANSFER:DIFFUSION,FALSE
5,90,Construction:WindowEquivalentLayer,CONSTRUCTION:WINDOWEQUIVALENTLAYER,TRUE
5,91,MaterialProperty:HeatAndMoistureTransfer:ThermalConductivity,MATERIALPROPERTY:HEATANDMOISTURETRANSFER:THERMALCONDUCTIVITY,FALSE
5,92,WindowMaterial:Gap:EquivalentLayer,WINDOWMATERIAL:GAP:EQUIVALENTLAYER,TRUE
5,93,MaterialProperty:GlazingSpectralData,MATERIALPROPERTY:GLAZINGSPECTRALDATA,TRUE
5,94,Construction,CONSTRUCTION,TRUE
5,95,Construction:CfactorUndergroundWall,CONSTRUCTION:CFACTORUNDERGROUNDWALL,TRUE
5,96,Construction:FfactorGroundFloor,CONSTRUCTION:FFACTORGROUNDFLOOR,TRUE
5,97,Construction:InternalSource,CONSTRUCTION:INTERNALSOURCE,TRUE
5,98,WindowThermalModel:Params,WINDOWTHERMALMODEL:PARAMS,TRUE
5,99,Construction:ComplexFenestrationState,CONSTRUCTION:COMPLEXFENESTRATIONSTATE,TRUE
5,100,Construction:WindowDataFile,CONSTRUCTION:WINDOWDATAFILE,TRUE
5,101,MaterialProperty:PhaseChangeHysteresis,MATERIALPROPERTY:PHASECHANGEHYSTERESIS,FALSE
5,102,WindowsCalculationEngine,WINDOWSCALCULATIONENGINE,FALSE
5,103,Construction:AirBoundary,CONSTRUCTION:AIRBOUNDARY,TRUE
6,104,GlobalGeometryRules,GLOBALGEOMETRYRULES,FALSE
6,105,GeometryTransform,GEOMETRYTRANSFORM,FALSE
6,106,Zone,ZONE,TRUE
6,107,ZoneList,ZONELIST,TRUE
6,108,ZoneGroup,ZONEGROUP,TRUE
6,109,BuildingSurface:Detailed,BUILDINGSURFACE:DETAILED,TRUE
6,110,Wall:Detailed,WALL:DETAILED,TRUE
6,111,RoofCeiling:Detailed,ROOFCEILING:DETAILED,TRUE
6,112,Floor:Detailed,FLOOR:DETAILED,TRUE
6,113,Wall:Exterior,WALL:EXTERIOR,TRUE
6,114,Wall:Adiabatic,WALL:ADIABATIC,TRUE
6,115,Wall:Underground,WALL:UNDERGROUND,TRUE
6,116,Wall:Interzone,WALL:INTERZONE,TRUE
6,117,Roof,ROOF,TRUE
6,118,Ceiling:Adiabatic,CEILING:ADIABATIC,TRUE
6,119,Ceiling:Interzone,CEILING:INTERZONE,TRUE
6,120,Floor:GroundContact,FLOOR:GROUNDCONTACT,TRUE
6,121,Floor:Adiabatic,FLOOR:ADIABATIC,TRUE
6,122,Floor:Interzone,FLOOR:INTERZONE,TRUE
6,123,FenestrationSurface:Detailed,FENESTRATIONSURFACE:DETAILED,TRUE
6,124,Window,WINDOW,TRUE
6,125,Door,DOOR,TRUE
6,126,GlazedDoor,GLAZEDDOOR,TRUE
6,127,Window:Interzone,WINDOW:INTERZONE,TRUE
6,128,Door:Interzone,DOOR:INTERZONE,TRUE
6,129,GlazedDoor:Interzone,GLAZEDDOOR:INTERZONE,TRUE
6,130,WindowProperty:ShadingControl,WINDOWPROPERTY:SHADINGCONTROL,TRUE
6,131,WindowProperty:FrameAndDivider,WINDOWPROPERTY:FRAMEANDDIVIDER,TRUE
6,132,WindowProperty:AirflowControl,WINDOWPROPERTY:AIRFLOWCONTROL,FALSE
6,133,WindowProperty:StormWindow,WINDOWPROPERTY:STORMWINDOW,FALSE
6,134,InternalMass,INTERNALMASS,TRUE
6,135,Shading:Site,SHADING:SITE,TRUE
6,136,Shading:Building,SHADING:BUILDING,TRUE
6,137,Shading:Site:Detailed,SHADING:SITE:DETAILED,TRUE
6,138,Shading:Building:Detailed,SHADING:BUILDING:DETAILED,TRUE
6,139,Shading:Overhang,SHADING:OVERHANG,TRUE
